番号,タイトル,カテゴリ推定,MXL有無,音源有無,備考
428,[Private video],,,,削除/非公開
429,Gandhara,,,,
430,"米津玄師  - アイネクライネ , Kenshi Yonezu - Eine Kleine",J-POP,,,
431,アイネクライネ / 米津玄師 (cover),J-POP,,,
432,Official髭男dism - ビンテージ［Official Video］,J-POP,,,
433,椎名林檎 - 公然の秘密,J-POP,,,
434,エヴァンゲリヲン　翼を下さい,アニメ,,,
435,【歌い方】丸ノ内サディスティック / 椎名林檎 （難易度A）【歌が上手くなる歌唱分析シリーズ】,J-POP,,,
436,【歌い方】残酷な天使のテーゼ / 高橋洋子 （難易度B）【歌が上手くなる歌唱分析シリーズ】,,,,
437,Alien Alien / Mafumafu 【Tried to sing】,,,,
438,back number - 高嶺の花子さん,J-POP,,,
439,[Deleted video],,,,削除/非公開
440,[Deleted video],,,,削除/非公開
441,「残酷な天使のテーゼ」MUSIC VIDEO（HDver.）/Zankoku na Tenshi no Te-ze“The Cruel Angel's Thesis”,,,,
442,セブンイレブンのCMが神曲だったので歌ってみた,,,,
443,"【歌詞付き】グランドエスケープ/feat.三浦透子/RADWIMPS　Grand Escape ""Weathering With You""",J-POP,,,
444,[Private video],,,,削除/非公開
445,「ふたりのもじぴったん」をベースで弾いてみた (Bass cover),,,,
446,菅田将暉 『さよならエレジー』,J-POP,,,
447,mikitoP『 ROKI 』MV,,,,
448,【男声用】5分でできる発声練習【VOCAL WARM UP】,,,,
449,ONE OK ROCK: Wasted Nights [OFFICIAL  VIDEO],,,,
450,Michael Bubl - Haven't Met You Yet [Official Music Video],洋楽,,,
451,あいみょん　今夜このまま　男性キー　マイナス3,J-POP,,,
452,Aimyon - Let the Night [OFFICIAL MUSIC VIDEO],J-POP,,,
453,"Idina Menzel, AURORA - Into the Unknown (From ""Frozen 2"")",,,,
454,乃木坂46 『シンクロニシティ』,J-POP,,,
455,【歌い方】空の青さを知る人よ / あいみょん（難易度B）【歌が上手くなる歌唱分析シリーズ】,J-POP,,,
456,空の青さを知る人よ／あいみょん／ギターコード,J-POP,,,
457,【残酷な天使のテーゼ】音大生のホンキ！混声3部合唱,クラシック,,,
458,Yorushika - Just a Sunny Day for You (Music Video),J-POP,,,
459,Utada Hikaru「Beautiful World」　Directed by Tsurumaki Kazuya,,,,
460,[Deleted video],,,,削除/非公開
461,菅田将暉 『まちがいさがし』,J-POP,,,
462,Superfly 『フレア』(Music Video) ～NHK連続テレビ小説「スカーレット」主題歌～,J-POP,,,
463,Anly 『カラノココロ』TIMMライブ映像,,,,
464,椎名林檎  人生は夢だらけ,J-POP,,,
465,椎名林檎 [ジユーダム] ||| Shiina Ringo [Jiyu-Dom] ||| 歌詞 lyrics,J-POP,,,
466,ストラトヴァリウス 新作『エターナル』 5曲先行試聴！,,,,
467,心が叫びたがってるんだ 「心が叫びだす」 「あなたの名前呼ぶよ」,,,,
468,アンジェラ・アキ「手紙 ~拝啓 十五の君へ~」Official  Music Video (HD),,,,
469,大好きな歌だから聴いてね！大学時代の思い出の曲を歌います!!【クレア先生】,,,,
470,Taylor Swift - We Are Never Ever Getting Back Together,,,,
471,"【和訳付き】サンタ・ルチア (ナポリ民謡) ""Santa Lucia"" - カタカナ読み付き",,,,
472,『プレゼント／セカオワ』音大生が歌うNコン課題曲,,,,
473,SEKAI NO OWARI「プレゼント」,,,,
474,"""1・2・3"" By After the Rain （まふまふ・そらる）- ポケットモンスター(Pocket Monsters)OP【ピアノ楽譜/ piano sheet】",アニメ,,,
475,[ポケットモンスターOP]１・２・３／After the Rain（そらる×まふまふ）,アニメ,,,
476,【一人合唱ガチ勢】ふたりはプリキュアED「ゲッチュウ!らぶらぶぅ?!」を男一人で大合唱wwwwww,アニメ,,,
477,【歌好きは見なくてOK】歌が嫌いになってしまった人に贈る３つの言葉【しらスタ】,,,,
478,【無料】歌が5倍上手くなる！歌唱力UPのためのYouTubeツール『Tube Mania』,,,,
479,リズム感が圧倒的によくなる手拍子のやり方があるのです【しらスタ】,,,,
480,ポケモンDP OP1 Together,アニメ,,,
481,【ダイスケ】ポケットモンスター ベストウィッシュ OP 夏めく坂道 を弾いてみた【スティーブン少佐】,アニメ,,,
482,"米津玄師 - LOSER , Kenshi Yonezu",J-POP,,,
483,カラオケで歌が下手になる3つの理由【モナリザ・和田アキ子・松田聖子】,,,,
484,【歌い方】君はロックを聴かない / あいみょん（難易度B）【歌が上手くなる歌唱分析シリーズ】,J-POP,,,
485,Aimyon - The Smell of a Midsummer Night [OFFICIAL MUSIC VIDEO],J-POP,,,
486,Improve your karaoke skills! No more confusion! How to find the right key for you. Iku Channel Vo...,,,,
487,【重要】歌う時の呼吸の仕方　歌いやすさに繋がりますよ　いくちゃんねる,,,,
488,Aimyon -  Kimi wa rock wo kikanai [OFFICIAL MUSIC VIDEO],J-POP,,,
489,【歌い方】マリーゴールド / あいみょん （難易度B）【歌が上手くなる歌唱分析シリーズ】,J-POP,,,
490,mikitoP 『 1 2 funclub』 MV,,,,
491,【ビブラート】ボイストレーナーが教える練習法,,,,
492,【誰でもできる】リップロールでミックスボイスを手に入れろ！【高い声がでない】【喉が苦しい】,,,,
493,【公開】高い声が苦しいあなたへ贈る最強の100円ボイトレ【タピオカハイトーン】,,,,
494,米津玄師  - 馬と鹿   Kenshi Yonezu - Uma to Shika,J-POP,,,
495,Official髭男dism - Pretender［Official Video］,J-POP,,,
496,【歌い方】Pretender / Official髭男dism （難易度S）【歌が上手くなる歌唱分析シリーズ】,J-POP,,,
497,Queen - We Will Rock You (Official Video),洋楽,,,
498,EMG3-0017 心の瞳/坂本 九〔混声3部合唱〕,クラシック,,,
499,[Private video],,,,削除/非公開
500,スキマスイッチ - 「全力少年」Music Video : SUKIMASWITCH / ZENRYOKU SHOUNEN Music Video,,,,
501,幻影の覇者ゾロアーク　主題歌　アイスクリームシンドローム,,,,
502,Asuka Hayashi - Make a Wish (Japanese Version),,,,
503,【魔王魂公式】シャイニングスター　カラオケ動画　AviUtl,,,,
504,ひとりぼっちじゃない,,,,
505,[Private video],,,,削除/非公開
506,【ポケモン】風といっしょに【ミュウツーの逆襲】,アニメ,,,
507,Every Little Thing / 宙 -そら-,,,,
508,[Private video],,,,削除/非公開
